Execution started at: 24-Sep-2026 02:55:19
Results folder: Results_Electronics_Hard\2026-09-24_02-55-19
Output format for journal: PDF
VERSION: 5.0 - UPGRADED WITH ADVANCED PAIRED STATISTICS


========================================
CMOS ELECTRONICS OPTIMIZATION BENCHMARK SUITE - HARD VERSION
========================================

Configuration:
  Benchmark type: Electronics (HARD VERSION)
  Number of runs: 51 (Upgraded for higher power)
  Population size: 30
  Max FEs per dimension: 10000
  Statistical significance level: alpha = 0.05
  Output format: PDF (PNG + PDF)

Electronics Problems (HARD VERSIONS):
  E1: Two-Stage Folded-Cascode Op-Amp (18D) - HARD
    Robust sizing of folded-cascode op-amp under Monte-Carlo mismatch (Nmc=50), 18D design variables
  E2: RF CMOS Cascode LNA 2.4GHz (12D) - HARD with Noise
    2.4 GHz cascode LNA optimization with process variation, yield requirement 99%
  E3: Low Phase-Noise LC-VCO with PVT (11D) - HARD
    LC-VCO phase-noise minimization with full PVT variation, tighter PN constraint
  E4: Robust 6T FinFET SRAM Cell (9D) - HARD
    FinFET SRAM cell robust optimization with Nmc=200, yield requirement 99%

Algorithms (6 total):
   1. KDO        - Karma-Dharma Optimizer (Proposed)
   2. SFO        - Swift Flight Optimizer
   3. StMA       - Sterna Migration Algorithm
   4. CAO        - Cell Autophagy Optimization
   5. ERBMO      - Enhanced Red-billed Blue Magpie Optimizer
   6. SMNBKA_ICMIC - Binary Evolution Black-kite Algorithm

Initializing results storage...

========================================
STARTING OPTIMIZATION PROCESS (HARD PROBLEMS)
========================================


--- Algorithm: KDO ---
  Problem: E1: Two-Stage Folded-Cascode Op-Amp (18D) - HARD (dim=18, MaxFEs=180000, MaxIter=6000)
    Run: Iter    1 | Best = 2.5547e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18150
Iter 1200 | Best = 2.5256e+08 | FEs = 36309
Iter 1800 | Best = 2.5256e+08 | FEs = 54465
Iter 2400 | Best = 2.5256e+08 | FEs = 72653
Iter 3000 | Best = 2.5256e+08 | FEs = 90850
Iter 3600 | Best = 2.5256e+08 | FEs = 109068
Iter 4200 | Best = 2.5256e+08 | FEs = 127335
Iter 4800 | Best = 2.5256e+08 | FEs = 145631
Iter 5400 | Best = 2.5256e+08 | FEs = 164005
Iter    1 | Best = 2.5873e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18149
Iter 1200 | Best = 2.5256e+08 | FEs = 36297
Iter 1800 | Best = 2.5256e+08 | FEs = 54478
Iter 2400 | Best = 2.5256e+08 | FEs = 72668
Iter 3000 | Best = 2.5256e+08 | FEs = 90880
Iter 3600 | Best = 2.5256e+08 | FEs = 109126
Iter 4200 | Best = 2.5256e+08 | FEs = 127386
Iter 4800 | Best = 2.5256e+08 | FEs = 145683
Iter 5400 | Best = 2.5256e+08 | FEs = 164002
Iter    1 | Best = 2.5609e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18154
Iter 1200 | Best = 2.5256e+08 | FEs = 36311
Iter 1800 | Best = 2.5256e+08 | FEs = 54481
Iter 2400 | Best = 2.5256e+08 | FEs = 72676
Iter 3000 | Best = 2.5256e+08 | FEs = 90881
Iter 3600 | Best = 2.5256e+08 | FEs = 109101
Iter 4200 | Best = 2.5256e+08 | FEs = 127358
Iter 4800 | Best = 2.5256e+08 | FEs = 145680
Iter 5400 | Best = 2.5256e+08 | FEs = 164043
Iter    1 | Best = 2.6110e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18160
Iter 1200 | Best = 2.5256e+08 | FEs = 36313
Iter 1800 | Best = 2.5256e+08 | FEs = 54485
Iter 2400 | Best = 2.5256e+08 | FEs = 72674
Iter 3000 | Best = 2.5256e+08 | FEs = 90888
Iter 3600 | Best = 2.5256e+08 | FEs = 109107
Iter 4200 | Best = 2.5256e+08 | FEs = 127366
Iter 4800 | Best = 2.5256e+08 | FEs = 145661
Iter 5400 | Best = 2.5256e+08 | FEs = 164034
5 Iter    1 | Best = 2.5725e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18151
Iter 1200 | Best = 2.5256e+08 | FEs = 36307
Iter 1800 | Best = 2.5256e+08 | FEs = 54467
Iter 2400 | Best = 2.5256e+08 | FEs = 72656
Iter 3000 | Best = 2.5256e+08 | FEs = 90854
Iter 3600 | Best = 2.5256e+08 | FEs = 109076
Iter 4200 | Best = 2.5256e+08 | FEs = 127344
Iter 4800 | Best = 2.5256e+08 | FEs = 145651
Iter 5400 | Best = 2.5256e+08 | FEs = 164011
Iter    1 | Best = 2.5779e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18147
Iter 1200 | Best = 2.5256e+08 | FEs = 36318
Iter 1800 | Best = 2.5256e+08 | FEs = 54491
Iter 2400 | Best = 2.5256e+08 | FEs = 72671
Iter 3000 | Best = 2.5256e+08 | FEs = 90883
Iter 3600 | Best = 2.5256e+08 | FEs = 109119
Iter 4200 | Best = 2.5256e+08 | FEs = 127395
Iter 4800 | Best = 2.5256e+08 | FEs = 145693
Iter 5400 | Best = 2.5256e+08 | FEs = 164107
Iter    1 | Best = 2.5418e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18146
Iter 1200 | Best = 2.5256e+08 | FEs = 36302
Iter 1800 | Best = 2.5256e+08 | FEs = 54475
Iter 2400 | Best = 2.5256e+08 | FEs = 72670
Iter 3000 | Best = 2.5256e+08 | FEs = 90876
Iter 3600 | Best = 2.5256e+08 | FEs = 109119
Iter 4200 | Best = 2.5256e+08 | FEs = 127392
Iter 4800 | Best = 2.5256e+08 | FEs = 145687
Iter 5400 | Best = 2.5256e+08 | FEs = 164031
Iter    1 | Best = 2.5569e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18153
Iter 1200 | Best = 2.5256e+08 | FEs = 36310
Iter 1800 | Best = 2.5256e+08 | FEs = 54489
Iter 2400 | Best = 2.5256e+08 | FEs = 72676
Iter 3000 | Best = 2.5256e+08 | FEs = 90881
Iter 3600 | Best = 2.5256e+08 | FEs = 109117
Iter 4200 | Best = 2.5256e+08 | FEs = 127382
Iter 4800 | Best = 2.5256e+08 | FEs = 145690
Iter 5400 | Best = 2.5256e+08 | FEs = 164064
Iter    1 | Best = 2.5654e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18152
Iter 1200 | Best = 2.5256e+08 | FEs = 36314
Iter 1800 | Best = 2.5256e+08 | FEs = 54487
Iter 2400 | Best = 2.5256e+08 | FEs = 72677
Iter 3000 | Best = 2.5256e+08 | FEs = 90882
Iter 3600 | Best = 2.5256e+08 | FEs = 109114
Iter 4200 | Best = 2.5256e+08 | FEs = 127386
Iter 4800 | Best = 2.5256e+08 | FEs = 145696
Iter 5400 | Best = 2.5256e+08 | FEs = 164061
10 Iter    1 | Best = 2.5585e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18154
Iter 1200 | Best = 2.5256e+08 | FEs = 36316
Iter 1800 | Best = 2.5256e+08 | FEs = 54488
Iter 2400 | Best = 2.5256e+08 | FEs = 72678
Iter 3000 | Best = 2.5256e+08 | FEs = 90867
Iter 3600 | Best = 2.5256e+08 | FEs = 109114
Iter 4200 | Best = 2.5256e+08 | FEs = 127357
Iter 4800 | Best = 2.5256e+08 | FEs = 145662
Iter 5400 | Best = 2.5256e+08 | FEs = 164044
Iter    1 | Best = 2.5627e+08 | FEs = 60
Iter  600 | Best = 2.5256e+08 | FEs = 18155
Iter 1200 | Best = 2.5256e+08 | FEs = 36313
Iter 1800 | Best = 2.5256e+08 | FEs = 54481
Iter 2400 | Best = 2.5256e+08 | FEs = 72678
Iter 3000 | Best = 2.5256e+08 | FEs = 90889
Iter 3600 | Best = 2.5256e+08 | FEs = 109126
Iter 4200 | Best = 2.5256e+08 | FEs = 127401
Iter 4800 | Best = 2.5256e+08 | FEs = 145682
